lon_wgs84,lat_wgs84,case,name,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_luckin,dist_to_nearest_starbucks,dist_to_nearest_metro_exit
118.15604629614714,24.529371229064452,1,瑞幸咖啡(力拓新城店),70,21,0,0,181.85396284692425,601.3329936371194,576.3921983971305
118.09576672790573,24.52202477027755,1,瑞幸咖啡(跨境电商店),15,28,0,0,648.8719979161385,962.696120724078,1245.9664071837967
118.11723153267754,24.511397283415455,1,瑞幸咖啡(湖里大唐世家店),9,41,1,2,231.2646680845303,249.3909676762118,211.24090091637441
118.12613865844014,24.50921188867173,1,瑞幸咖啡(联发欣悦里店),15,36,1,0,727.1239877003829,677.8760278097297,745.5470783681549
118.18689511976235,24.478659245251823,1,瑞幸咖啡(中航紫金广场店),17,5,6,0,147.88291961555313,72.08178217273452,769.2851594296301
118.18973999632337,24.48879973146546,1,瑞幸咖啡(匹克国际大厦店),41,12,1,1,87.19455263444115,976.8773604880809,198.6879022067349
118.16051702922657,24.534685124795327,1,瑞幸咖啡(海天广场店),15,16,1,1,456.01939208552443,485.8900435412767,94.63453655326752
118.09343648400048,24.43839910521641,1,luckin coffee 瑞幸咖啡(厦门大学科艺楼店),1,6,0,0,501.5289131532825,406.309740982892,2222.5283322137675
118.16813041796296,24.488539395058876,1,瑞幸咖啡(宝龙一城店),15,12,2,1,406.40455088766805,102.9206479532792,97.39184505096438
118.08815344378115,24.440554095057635,1,瑞幸咖啡(厦门大学西门演武1658店),5,34,2,1,453.0317608595748,356.4254101190537,1711.2010800959054
118.15430375825665,24.53291243401248,1,瑞幸咖啡(宏益华府店),68,14,1,0,257.30890671472065,253.03434627633558,665.0513923506218
118.1119731346876,24.440948048541898,1,瑞幸咖啡(厦门大学思明校区学生公寓店),0,28,0,0,26.024716594507325,701.2524468064619,3001.3492131591784
118.11394882919248,24.496403233899734,1,luckin coffee 瑞幸咖啡(屿后路店),14,38,0,0,524.2108023598802,625.1940976934931,832.2634472026506
118.08554882241413,24.47101947081254,1,luckin coffee 瑞幸咖啡(百脑汇科技大厦店),18,68,3,0,490.8081518807196,13.116798143979723,1223.5416301280097
118.12120649573852,24.474691896645073,1,luckin coffee 瑞幸咖啡(建发花园店),6,34,0,0,445.62378621083417,812.5331131492552,867.2069856644775
118.17311637240022,24.482088765273716,1,luckin coffee 瑞幸咖啡(明丰财富中心店),24,28,0,0,455.23318843876746,549.2611524483929,611.4575429250626
118.14065158556868,24.5335938543192,1,luckin coffee 瑞幸咖啡(围里村店),5,33,0,0,487.0623302049662,578.6747737008883,1204.7470376308424
