lon_wgs84,lat_wgs84,case,pred_proba,pearson_residual,lisa_raw,lisa_fdr,lisa_p_sim,lisa_q
118.09747701237588,24.435785973738582,1,0.0700280389528539,3.6441726552948337,ns,ns,0.07,1
118.15278823771972,24.530366395915973,1,0.8512132575574881,0.4180834037613208,ns,ns,0.16,4
118.17801963868442,24.508849815488222,1,0.3586964125680003,1.3371136368703227,ns,ns,0.346,1
118.17453598744818,24.50928641468043,1,0.4012394041355468,1.2215881678897245,ns,ns,0.091,1
118.11037348124614,24.435482758284188,1,0.2509373422639254,1.7277321970742288,HL,ns,0.037,4
118.12706491147296,24.52958358329941,1,0.1057308323393549,2.908260489783895,ns,ns,0.204,4
118.19194282806392,24.491180779349257,1,0.1563118359899998,2.323245187191912,ns,ns,0.057,1
118.11031284879591,24.52685940676476,1,0.1474584045187792,2.4044902667270236,ns,ns,0.078,4
118.19044508947768,24.496148022558614,1,0.1115653875706034,2.8219414302610817,HH,ns,0.004,1
118.18186339731923,24.531724636394216,1,0.3167854381027141,1.4685743960119422,ns,ns,0.221,4
118.19141802341753,24.485815083631092,1,0.2397240870245251,1.7808599989250795,ns,ns,0.089,1
118.15544385925244,24.444218884730724,1,0.013551299503533,8.531920116628463,ns,ns,0.447,4
118.1571498127983,24.51828693980329,1,0.1930665523346457,2.044397485405065,ns,ns,0.376,4
118.15962892216668,24.462680098854563,1,0.0510624801186873,4.310899088853151,ns,ns,0.322,4
118.17125720340285,24.503565489679556,1,0.1701869975689307,2.208141650053889,ns,ns,0.345,4
118.1868883511617,24.531887557047064,1,0.2987564210436758,1.5320601793228728,ns,ns,0.494,4
118.18090125945749,24.486505843439687,1,0.1857093730110396,2.093981334135603,ns,ns,0.087,1
118.17349877982558,24.489823690548036,1,0.1945620066381542,2.034637466876982,ns,ns,0.439,1
118.17344653124152,24.50563688430895,1,0.2700336758080792,1.6441538298077818,ns,ns,0.307,1
118.17842622852864,24.48632729639597,1,0.2064432376549252,1.9605985074276968,HH,ns,0.038,1
118.19147408605996,24.48672331853177,1,0.2837246470235589,1.588881364931496,ns,ns,0.095,1
118.18633055414077,24.496271989901757,1,0.104514392728953,2.927124901098824,HH,ns,0.008,1
118.1794506674036,24.487329329891978,1,0.2004136720536224,1.99741821987243,HH,ns,0.032,1
118.17292412854108,24.50703109626999,1,0.277995827685245,1.611575716419912,ns,ns,0.16,1
118.17655948985885,24.48830015768867,1,0.1921902626866094,2.050165173122196,HH,ns,0.037,1
118.15505091682998,24.51429256939728,1,0.2467979575561572,1.7469680562847725,ns,ns,0.275,1
118.18173504914012,24.48977085538254,1,0.1472228141592651,2.4067458361557867,ns,ns,0.072,1
118.17355367157134,24.493291316554245,1,0.0934357584167495,3.114890146051982,ns,ns,0.109,1
118.18408048264034,24.47842426103251,1,0.3676082338502184,1.3115972220997203,ns,ns,0.318,1
118.18877132585634,24.495083030549697,1,0.1252181733700244,2.6431158190402564,HH,ns,0.002,1
118.19114393806058,24.492430641165132,1,0.1359736777453035,2.52078650112379,HH,ns,0.048,1
118.17196611722343,24.487468454810195,1,0.3671776291311139,1.3128128079959276,ns,ns,0.416,4
118.19042486817725,24.498636349987372,1,0.0989525928749128,3.0175899964251336,HH,ns,0.024,1
118.15677889169652,24.53239092007688,1,0.7188663049103522,0.6253632940967934,ns,ns,0.134,4
118.1435211000641,24.547175982911188,1,0.1694435862677891,2.213971371573298,ns,ns,0.208,4
118.1180268935023,24.50943980052138,1,0.1908802712925517,2.058855531550683,ns,ns,0.308,4
118.19214345620853,24.488656725751813,1,0.2509493719815841,1.727676912425632,HH,ns,0.028,1
118.15024350256388,24.524498151095944,1,0.1598479817378049,2.2925845373100415,ns,ns,0.172,4
118.12569482251942,24.495599426082748,1,0.4047849488685446,1.21262013282807,ns,ns,0.397,1
118.08071616160711,24.46741701576612,1,0.2037432357443838,1.976901212613002,ns,ns,0.277,1
118.18633256019628,24.496252990622835,1,0.1046720422855144,2.924662280936755,HH,ns,0.009,1
118.1886279986964,24.495026777288704,1,0.1208796186896477,2.696793133279323,HH,ns,0.002,1
118.1705048401606,24.504765984832023,0,0.1665037336652732,-0.4469512527586466,ns,ns,0.097,2
118.15009758153336,24.52031216137895,0,0.0876569839119036,-0.3099660905282689,ns,ns,0.485,3
