lon_wgs84,lat_wgs84,name,case,office_count,residential_count,mall_count,metro_station_count,dist_to_nearest_starbucks,dist_to_nearest_luckin,dist_to_nearest_metro_exit
118.09471978671897,24.442535706572794,(control),0,0,6,0,0,759.5557460474456,476.1916819323932,1946.427128751406
118.0854593086363,24.460213126044763,(control),0,15,44,0,1,924.6261598660947,203.65967433751345,94.47116591301773
118.08301449709246,24.514709814017277,(control),0,11,1,0,0,607.5274039890393,345.7432919809983,1868.8263873276373
118.1454974406213,24.459486205014,(control),0,0,1,0,0,2262.1324816717274,1475.422748551747,3299.586266694608
118.10683848996808,24.480153611655624,(control),0,10,36,1,1,644.342203177997,630.5789501565987,233.12839767457518
118.10885382330274,24.438803585007168,(control),0,3,17,0,0,451.79645843425783,369.4635425046349,3037.2936687510783
118.10663182869976,24.53477674963799,(control),0,2,11,0,0,1105.3079796627258,952.7663379560569,752.9496062528327
118.09607366945755,24.516536965223104,(control),0,32,29,0,0,480.1796157383572,104.51589491922365,874.9495949813343
118.17490720552212,24.504336922492612,(control),0,13,10,1,0,352.0868319122359,206.47079230175902,1355.5592846269003
118.12989927867599,24.478221882234912,(control),0,4,39,0,0,977.3960378299715,524.1139678729392,1457.0871951308902
118.11076608207433,24.55177796954214,(control),0,0,11,0,0,747.6354706109493,739.3127430459571,1207.2579211776283
118.1459434513459,24.53931700266506,(control),0,12,1,0,0,908.7597578423419,582.6171089763338,1391.5504214386879
118.0878075808543,24.442958350335836,(control),0,4,42,2,0,619.3725821276137,268.53877781700567,1471.4871003914616
118.11231943791671,24.544342824025772,(control),0,9,6,0,1,1098.5464115341838,1031.052389653469,382.19886091728773
118.12484088164904,24.4732635912642,(control),0,6,26,0,0,1200.9965538149925,294.6559659500869,1266.0345763688551
118.17293967278893,24.49113455491778,(control),0,12,4,2,0,462.87543893306497,155.8312403001487,529.9883858494846
118.11622702599203,24.49693626457389,(control),0,9,45,0,0,686.8882367933242,238.2830469683255,616.1676101443422
118.0800187613091,24.46399642726964,(control),0,19,78,0,0,609.7895413195313,374.5051313633074,701.0784295062139
118.0951144963007,24.525409302752305,(control),0,10,19,0,0,973.9158117176333,380.5779610365693,1551.7882518241167
118.10970789628077,24.536394090941684,(control),0,0,7,0,1,1364.442772006463,1057.6379508125651,415.0640621418873
118.09211485664225,24.52232693507038,(control),0,20,14,0,0,976.3493392899582,371.4878245828605,1546.3278116762328
118.16864038526604,24.51080308467089,(control),0,1,14,1,0,609.4892834095374,254.7922232082171,1292.50488094545
118.16457260719154,24.496818558267258,(control),0,4,20,2,0,175.3892840966289,985.1789244382256,1068.6785389475267
118.12840701922799,24.554300586569784,(control),0,2,1,0,0,1060.9462738858156,751.5707853994355,2239.0650954683797
118.13524944362639,24.506584077924487,(control),0,7,22,0,0,1368.6533762516706,516.92261863648,1271.322408963221
118.14622649319774,24.505910706996985,(control),0,2,27,0,0,1253.7096886657873,718.5223675241732,1521.436307508268
118.12250135037178,24.524343367844455,(control),0,4,5,0,0,1401.050401850733,585.9471071708382,806.4263451459352
118.19200723442614,24.493424644694944,(control),0,19,6,0,0,1431.7661041425717,140.60775673901574,433.4078515237331
118.14856334854359,24.476397756320694,(control),0,2,13,0,0,693.1976438758876,629.3889669407448,1406.8621270243823
118.10836966048574,24.476279255398044,(control),0,22,56,5,1,280.7245532092615,446.2764225000563,113.48388795082326
118.11037279752793,24.469002267126847,(control),0,19,16,7,1,269.163524361042,247.45730349010245,216.95993033381941
118.17136356527328,24.48395887977821,(control),0,31,21,1,1,332.26762624272124,185.30252597655925,340.9314915735504
118.09139034122593,24.483990362448594,(control),0,8,10,0,1,601.0756040512316,272.0667148761377,153.18760114926886
118.13407674855064,24.479228493301132,(control),0,7,31,0,0,960.3046590545896,181.75686032397118,1559.3939561785353
118.07954909239876,24.47861733647733,(control),0,27,30,1,1,145.8679725902389,246.8746057922019,208.27264866159408
118.13467350944501,24.50430087204521,(control),0,2,18,1,0,1289.6737748551463,487.02346935535866,1011.837048456479
118.08835523838364,24.44679917902802,(control),0,1,27,0,0,1017.1993333918695,691.8644314957955,1200.4902244633086
118.17729281559623,24.484111038466686,(control),0,18,17,0,1,387.9410842666335,198.43090867881958,219.4244674385322
118.13813429866755,24.482331260687353,(control),0,11,36,0,0,977.6394628109803,489.26028894467225,1085.7976245060602
118.11885776259766,24.499222063812418,(control),0,10,45,4,1,333.7286244765106,339.1844228711193,248.55909491534499
118.08057468998354,24.44555456664988,(control),0,7,41,0,1,835.26640710169,405.8835740658276,886.8124980502217
118.15678433947743,24.47778045851755,(control),0,8,30,5,0,160.03911983512174,102.89058070888466,1150.1508694414779
118.06032726038491,24.441892232343253,(control),0,0,1,0,0,857.0425183238573,971.9088516016943,2087.3695736777745
118.16800665928507,24.51332884373321,(control),0,0,10,1,0,826.7651081096675,462.53127771963045,1152.3758052672922
118.06059383500619,24.451244250326848,(control),0,0,9,0,0,764.9365836420899,785.3720900837192,1678.398156293558
118.15814814498884,24.45354754726409,(control),0,0,7,0,0,2710.8203457181767,1022.4116861795144,3807.3019411572923
118.18582068823888,24.476139277699193,(control),0,18,7,6,0,46.88373737250508,167.0691420400001,920.6271953805485
118.16053987852449,24.44883051765911,(control),0,0,3,0,0,3261.830186032058,726.4187447036235,4261.696734264128
118.10207787386419,24.547061673085686,(control),0,0,2,0,0,1738.1485916216664,1709.8232404536197,1165.8553279422367
118.12207939929704,24.546541055865912,(control),0,5,5,1,0,798.9161283327718,659.4983587605569,1204.6605438762897
118.09681942281277,24.473654039708915,(control),0,15,36,1,1,180.20042624366457,24.931074819410124,248.5188628761068
118.15368913500025,24.477876718883422,(control),0,6,20,5,0,154.02620623886136,211.18668841986593,1213.585469947282
118.14244669445208,24.48167252050039,(control),0,5,22,0,0,1141.7931591895099,793.7432475433487,1016.3652036258343
118.19178451373415,24.488962179606407,(control),0,36,6,1,1,1176.5771665798407,49.673047333862925,400.1169547406912
118.15514380522279,24.45634733212138,(control),0,0,5,0,0,2384.361699914503,835.7576124227713,3520.5582170699013
118.08313794244141,24.45839615671696,(control),0,18,51,1,1,616.2576336011673,364.3046010417505,133.8820466692263
118.15794143256622,24.53759961680745,(control),0,9,17,1,0,383.574379368393,415.02473582526477,175.7150775503338
118.1500043149666,24.514197375543134,(control),0,12,19,1,0,533.8075199979027,511.28914040194707,1093.3631768356397
118.1216655711213,24.474143684044833,(control),0,6,32,0,0,866.7430898733851,76.48736322844223,938.4249881315006
118.09462488802691,24.47501851780341,(control),0,9,28,0,0,446.23984715108804,258.87156301869356,508.0136032326023
118.1013833862409,24.47024118533592,(control),0,26,55,1,1,419.7030080039902,199.3661183656507,243.22990971548717
118.10848578059611,24.529240772739918,(control),0,8,14,0,1,609.6243694435113,322.18522139567585,288.0390825796791
118.16991151771533,24.490107406995513,(control),0,15,7,3,1,151.92578552627467,250.46120910159854,251.65812529050285
118.1637078412843,24.481487924122465,(control),0,11,32,0,0,949.5718779437613,439.50656314525185,808.8487263090299
118.09478906482258,24.53608789813578,(control),0,2,4,0,0,1591.2591008309296,978.3720634696298,1747.6896254369758
118.18101758585624,24.518411608048158,(control),0,4,7,1,1,944.3606059949287,774.4746314422384,115.56858395680496
118.09880305073105,24.50356851262551,(control),0,7,27,0,0,1155.0026738197728,1044.6694527752034,578.0995434681997
118.1126536489289,24.432717685139806,(control),0,11,4,0,1,356.8002348574644,383.6619556100077,3813.262118391468
118.0852356977626,24.49670155127755,(control),0,1,25,0,0,989.3861000463073,898.4728907441581,1339.5693579955337
118.18213170980403,24.513308870009563,(control),0,13,6,1,1,467.74219707448884,209.1894594628392,265.5482617549397
118.16431191980283,24.540363730125684,(control),0,0,14,1,0,1066.6387816425859,737.0486763394389,485.2263366979536
118.09529831110932,24.489245465130082,(control),0,25,24,1,1,450.41138337571516,332.40840715262397,396.08102637107345
